mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_mean_21,mfcc_mean_22,mfcc_mean_23,mfcc_mean_24,mfcc_mean_25,mfcc_mean_26,mfcc_mean_27,mfcc_mean_28,mfcc_mean_29,mfcc_mean_30,mfcc_mean_31,mfcc_mean_32,mfcc_mean_33,mfcc_mean_34,mfcc_mean_35,mfcc_mean_36,mfcc_mean_37,mfcc_mean_38,mfcc_mean_39,mfcc_var_0,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_var_13,mfcc_var_14,mfcc_var_15,mfcc_var_16,mfcc_var_17,mfcc_var_18,mfcc_var_19,mfcc_var_20,mfcc_var_21,mfcc_var_22,mfcc_var_23,mfcc_var_24,mfcc_var_25,mfcc_var_26,mfcc_var_27,mfcc_var_28,mfcc_var_29,mfcc_var_30,mfcc_var_31,mfcc_var_32,mfcc_var_33,mfcc_var_34,mfcc_var_35,mfcc_var_36,mfcc_var_37,mfcc_var_38,mfcc_var_39,label
-113.619385,121.55303,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283617,10.973776,-8.32241,8.8067875,-3.665802,5.745939,-5.161711,0.75029784,-1.688358,-0.4093285,-2.2988691,1.2199471,-3.538389,-1.1400294,-4.289415,-4.2328043,0.9163247,0.9165485,-5.763323,-3.930225,1.5080732,2.6956463,5.6516275,-3.2703445,-0.2038709,-2.9991937,4.479565,-0.47173452,6.0087132,-0.058999497,-3.4628537,-1.8414087,2570.8127,295.7244,235.57982,150.83536,168.02464,89.169586,67.60479,69.06307,82.152504,63.40047,61.810535,51.292,41.25163,40.56098,49.823498,52.464138,36.564606,41.643627,55.076687,46.975636,37.965855,31.514513,38.040527,42.735065,62.48403,54.07116,54.907482,49.171803,60.697464,96.9903,84.27313,88.55563,58.910774,54.797974,62.801483,53.3582,49.491558,55.01453,57.80481,51.244896,blues
-207.58151,123.99715,8.939115,35.870758,2.9199703,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.3759418,-2.237833,4.2171254,-6.0110474,0.93266803,-0.71702784,0.2923333,-0.2857169,0.5321445,-4.090439,-1.2404466,-2.8426907,-4.355886,3.2582963,1.2023576,-0.033780184,-0.059279013,3.9833682,-0.4506288,0.8427731,-3.7514126,-4.0992374,-2.455875,5.8402605,3.5573013,4.8964677,-0.4134134,-1.999016,-0.4694125,7770.7725,560.163,572.70013,264.85532,280.04752,156.47044,200.96965,142.37248,166.23215,104.358574,105.22371,96.29922,64.90086,73.177956,52.484993,55.364292,60.113293,48.137737,51.13121,45.82323,42.755733,45.882202,39.45792,70.42092,61.38119,60.32463,55.102978,83.73311,76.6565,94.0018,71.314,53.379017,55.021473,61.633236,80.06012,76.328926,69.63298,63.811153,58.010376,59.02781,blues
-90.776344,140.44861,-29.10056,31.68734,-13.975971,25.741686,-13.644712,11.623112,-11.77592,9.700466,-13.115349,5.785763,-8.899733,-1.0870236,-9.216774,2.4536483,-7.721793,-1.8164971,-3.434354,-2.2313912,-4.049148,-0.56996554,-2.0112386,-5.3869195,-5.123237,-7.8055515,-1.1680623,-0.20640007,1.384402,-3.0061822,-1.3840289,-4.7452655,-0.37657398,0.4943603,0.44500783,-4.1627316,-4.8087063,-6.69736,-4.4243474,-0.9846288,3319.7935,509.11203,411.987,144.14764,156.0156,74.46932,106.68324,106.62771,65.68542,67.845474,57.646442,64.60155,60.476448,57.74447,36.467384,40.620197,47.700275,52.418175,46.630066,30.626228,43.557903,59.25763,49.753254,52.420994,61.762672,39.280632,50.87312,53.812004,59.58231,54.122414,51.410736,63.282307,49.199955,47.418385,53.699055,51.75286,43.644016,41.393635,45.756226,46.017265,blues
-199.462,150.09473,5.649167,26.870144,1.7554408,14.236881,-4.8288727,9.297849,-0.753142,8.147393,-3.1952357,6.085354,-2.4761882,-1.0762246,-2.8760562,0.7769089,-3.3200555,0.6372629,-0.61750686,-3.40694,-1.5005991,-0.055320363,-1.8619184,-4.710597,-3.922636,-6.653788,-2.9067209,-3.231801,-0.27208954,-3.8174036,-2.8221364,-4.210177,-2.7049646,-3.8450146,-2.5266833,-4.9386477,-5.9521265,-6.6168156,-6.3983254,-1.5017639,5495.972,456.56662,257.0472,158.19778,267.90213,126.88234,156.06218,81.17086,92.361916,71.22305,110.32543,48.18353,56.813396,62.254208,51.64638,44.456993,50.23697,37.351917,37.291164,31.988438,34.799034,31.226908,28.437527,22.907896,23.461185,28.050316,27.847063,26.37316,26.458483,25.641954,42.078682,32.040447,21.739378,24.408606,25.821636,19.461384,19.981417,24.132837,27.128489,21.630157,blues
-160.29185,126.19577,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.50052303,-11.8047695,1.2038774,-13.085074,-2.8098488,-6.935621,-7.5592937,-9.172152,-4.5104084,-5.4537363,-0.9244677,-4.4080763,-11.701833,-5.8597007,-0.71842885,0.95112574,-1.2276795,4.565906,0.28962705,-1.2837689,-4.4884567,-0.40812585,0.2756417,8.477829,3.64165,-3.0047832,-6.1073136,-6.9527907,-4.0751724,-1.13693,-0.4846318,-4.7880306,-3.2193747,5198.1445,853.738,333.71176,193.67331,336.45108,134.79674,93.30083,124.761475,129.98872,99.795204,80.303085,86.49203,89.61349,70.93246,75.769226,86.01278,75.32818,53.577564,62.928513,55.215122,67.47083,61.08694,54.047474,47.090958,70.163666,81.233315,72.97417,44.650238,58.228493,81.313805,84.0057,73.64367,52.48807,50.980366,50.15933,44.706333,34.15957,52.56158,63.328426,49.071445,blues
-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.94018424,-11.773799,-2.426076,-9.342487,-9.947082,-3.9053469,-5.568541,-1.8399693,-2.7841752,-3.046112,-8.115228,-2.467844,-1.7123966,-4.2795463,-4.6385307,-2.3284316,0.9241528,4.378612,5.194026,5.694819,2.529238,2.613597,-4.352427,-6.80911,-2.9116185,-1.0631216,1.9084802,1.0155056,-3.1086466,-5.304875,-5.263715,7303.5063,3197.6096,654.1477,485.98712,433.48105,266.0905,169.8476,133.68483,172.3315,100.12965,76.596054,78.50409,80.13263,47.553093,60.051342,72.581894,68.719826,42.46666,39.829178,46.29248,57.552208,64.29823,60.690353,96.10693,194.74501,180.46875,200.59535,129.52658,113.99308,120.1827,99.16578,67.56516,66.164925,66.78048,45.3688,69.35009,48.20372,41.313087,52.088005,59.494995,blues
-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963726,-20.882357,0.27711603,-6.5008707,-5.515623,-7.8452897,-3.123599,-6.595716,-9.947577,-6.540925,-10.071382,-10.912119,-6.970003,-3.4485128,-6.498458,-7.1202984,-7.1363893,-5.285489,-4.5902853,-3.238698,-2.8989835,1.4235084,2.9203236,2.11777,-1.4764496,-0.6344612,2.9592261,2.607564,1.79932,-1.9789025,-5.1756315,-2.3760102,0.14222984,3.7087798,5.259211,9646.426,1934.4312,1307.6438,480.32092,1083.5883,280.22363,151.68828,102.89618,131.14716,153.48946,87.57829,64.22462,79.16398,63.074352,86.41678,83.32279,56.937695,38.2676,48.093582,70.01958,79.20693,110.77042,125.823494,83.262955,68.30781,105.96124,153.46606,146.34833,160.60083,179.38918,125.41364,106.84473,100.49313,87.68967,73.76507,57.230675,56.68392,65.36117,109.42279,133.67674,blues
-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.469098,-8.414114,-6.956976,-3.548349,-8.051683,-8.9604845,-8.421077,-10.5585985,-10.790192,-4.7007947,-8.638816,-11.0275755,-10.391632,-1.8577003,-1.4492542,-3.1238863,-1.183795,-3.6141505,-3.2580407,-0.6348768,0.8947241,4.01671,2.700859,-0.17025481,-2.5200899,-3.4514682,-2.8848891,0.7313576,-1.9445958,-4.865746,-3.2380965,6575.454,1479.9727,590.9773,353.15915,650.4475,136.36313,163.70146,151.47868,172.02489,178.41544,147.66684,83.777534,93.33137,57.466633,82.29772,70.47699,52.032326,60.5192,65.58995,56.33534,55.64579,65.09895,52.11171,97.55816,53.922916,41.09287,38.503155,38.962917,50.27652,79.75208,89.61878,67.99391,73.83635,93.762314,76.28381,47.585915,42.817814,40.213108,49.45051,63.722023,blues
-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.825939,21.17341,-6.7202907,7.0050187,-12.739909,5.064209,-5.1730757,-1.446995,-7.0369287,2.6948745,3.4093323,-2.6991909,-4.2705674,-0.6270918,-4.287083,-13.3744335,-8.27833,-2.0942798,10.5590105,2.919302,-1.0299448,-0.7499113,-0.5007922,-1.4041351,-1.8816167,-1.810887,2.364886,-4.3034086,-3.8789642,-5.0984454,0.49160275,1.1653895,2621.6409,414.7292,341.3917,193.81631,176.7232,106.99097,57.671753,76.91382,42.48063,58.431217,48.96014,56.24636,61.89646,50.54634,32.82994,50.560787,28.892342,36.931473,33.72412,36.09725,22.780298,26.823076,29.097837,50.296303,42.408253,39.03263,76.35316,50.1506,40.77978,41.37799,59.33595,53.032146,34.343052,42.496674,40.566322,29.193663,30.597795,20.902601,26.624092,30.82781,blues
-213.20453,115.15454,-11.720503,39.032555,-20.357819,13.089926,-9.180816,9.023639,-14.101023,4.283337,-6.044196,3.786368,0.22368751,-5.114481,-0.4145367,-1.1848986,-1.9183391,-2.2957962,2.89123,-4.234533,1.5900462,2.461061,-0.90934014,1.8585109,5.0403576,0.77271456,5.6455097,0.441474,-0.91098523,-2.213618,-1.8996391,-3.4583857,-0.9660858,1.5506594,3.1903374,4.552811,1.9053441,-0.68077904,-2.7371292,-0.059521135,6133.131,798.75323,668.95465,350.82483,532.3013,278.38568,126.545364,67.952324,110.166046,92.49028,84.86531,104.4943,76.40331,85.41577,104.041725,59.331203,58.489872,83.17791,77.038994,91.51975,137.34818,84.27856,79.40294,91.96944,114.76988,109.2858,101.333244,73.11534,81.35268,75.63112,72.42128,48.744793,51.586994,88.078064,105.80353,80.80286,55.759663,49.690815,66.327774,98.438644,blues
